CName,CLink,CCity,CFounded,CNation,CLeague,CReputation,CStatus,CBalance,CTransfer_Budget,CTotal_Wages,CRemaining_Wages,CTraining_Facilities,CYouth_Facilities,CYouth_Recruitment,CJunior_Coaching,CBest_XI,CMost_Talented_XI
San Martín (Tucumán),https://fminside.net/clubs/1-fm-21/102466-san-martin-tucuman,San Miguel de Tucumán (TU),1909,Argentina,Primera Nacional,55,Professional,€ 2M,€ 85K,€ 78K pw,€ 4K pw,55,50,55,45,62,55
Tishreen,https://fminside.net/clubs/1-fm-21/135481-tishreen,Latakia,1947,Syria,Syrian Premier League,55,Professional,€ 329K,0,0 pw,0 pw,55,45,90,55,56,65
Binacional,https://fminside.net/clubs/1-fm-21/77029556-binacional,Juliaca,2010,Peru,Liga 1,55,,€ 4M,€ 51K,€ 29K pw,€ 1K pw,15,15,20,10,60,55
Aldosivi,https://fminside.net/clubs/1-fm-21/108510-aldosivi,Mar del Plata (BA),1913,Argentina,Superliga Argentina,55,Professional,€ 230K,€ 72K,€ 95K pw,€ 4K pw,55,50,60,50,64,64
Charlton,https://fminside.net/clubs/1-fm-21/628-charlton,London,1905,England,EFL League One,54,Professional,€ 3M,€ 328K,€ 104K pw,€ 5K pw,55,60,65,65,61,58
Erzgebirge Aue,https://fminside.net/clubs/1-fm-21/121183-erzgebirge-aue,Aue,1946,Germany,2. Bundesliga,54,Professional,€ 4M,€ 250K,€ 166K pw,€ 17K pw,45,50,30,30,63,62
Pordenone,https://fminside.net/clubs/1-fm-21/831037-pordenone,Pordenone,1920,Italy,Serie B,54,Professional,€ 3M,€ 900K,€ 106K pw,€ 5K pw,50,35,45,35,62,67
Patronato,https://fminside.net/clubs/1-fm-21/3101457-patronato,Paraná (ER),1914,Argentina,Superliga Argentina,54,,€ 318K,0,€ 90K pw,€ 4K pw,45,40,55,40,64,64
Ponte Preta,https://fminside.net/clubs/1-fm-21/332-ponte-preta,Campinas (SP),1900,Brazil,Brazil Série B,54,Professional,€ 127K,€ 76K,€ 81K pw,€ 8K pw,60,50,50,40,63,65
Zagłębie Lubin,https://fminside.net/clubs/1-fm-21/1469-zagbie-lubin,Lubin,1946,Poland,Ekstraklasa,54,Professional,€ 5M,€ 335K,€ 45K pw,€ 5K pw,60,75,90,75,60,62
Jagiellonia Białystok,https://fminside.net/clubs/1-fm-21/710052-jagiellonia-biaystok,Białystok,1920,Poland,Ekstraklasa,54,Professional,€ 4M,€ 223K,€ 58K pw,€ 6K pw,70,70,90,60,60,59
OFI,https://fminside.net/clubs/1-fm-21/980-ofi,Irakleio,1925,Greece,Super League 1,54,Professional,€ 1M,€ 300K,€ 62K pw,€ 6K pw,55,55,45,50,61,62
SFC Opava,https://fminside.net/clubs/1-fm-21/130859-sfc-opava,Opava,1907,Czech Republic,Fortuna liga,54,Professional,€ 771K,€ 462K,€ 14K pw,€ 3K pw,55,55,55,60,55,54
Vaduz,https://fminside.net/clubs/1-fm-21/5720002-vaduz,Vaduz,1932,Switzerland,Raiffeisen Super League,54,,€ 2M,€ 362K,€ 45K pw,€ 6K pw,50,40,40,45,56,56
Thun,https://fminside.net/clubs/1-fm-21/514173-thun,Thun,1898,Switzerland,Brack.ch Challenge League,54,Professional,€ 1M,€ 63K,€ 53K pw,€ 5K pw,55,55,55,65,57,61
Anorthosis Famagusta,https://fminside.net/clubs/1-fm-21/450-anorthosis-famagusta,Larnaka,1911,Cyprus,Cyta Championship,54,Professional,€ 460K,0,0 pw,0 pw,55,50,80,50,62,68
Kristiansund,https://fminside.net/clubs/1-fm-21/763464-kristiansund,Kristiansund,2003,Norway,Eliteserien,54,Professional,€ 1M,€ 185K,€ 18K pw,858 pw,60,35,50,35,62,61
Kolos Kovalivka,https://fminside.net/clubs/1-fm-21/71063212-kolos-kovalivka,Kovalivka (Kyivs'ka oblast),2012,Ukraine,FavBet Liha,54,,€ 3M,€ 85K,€ 20K pw,949 pw,35,35,35,15,56,60
Beroe Stara Zagora,https://fminside.net/clubs/1-fm-21/341-beroe-stara-zagora,Stara Zagora,1916,Bulgaria,efbet League,54,Professional,€ 998K,0,€ 25K pw,€ 6K pw,70,65,75,65,57,55
Botev Plovdiv,https://fminside.net/clubs/1-fm-21/22033833-botev-plovdiv,Plovdiv,1912,Bulgaria,efbet League,54,,€ 540K,0,€ 21K pw,€ 6K pw,80,80,85,75,56,60
Dinamo Bucureşti,https://fminside.net/clubs/1-fm-21/1500-dinamo-bucureti,Bucharest,1948,Romania,Liga I,54,Professional,€ 136K,0,€ 96K pw,€ 8K pw,70,65,95,70,61,61
Al-Shabab (KSA),https://fminside.net/clubs/1-fm-21/1535-al-shabab-ksa,Riyadh,1948,Saudi Arabia,Zain Professional League,54,Professional,€ 30M,€ 1M,€ 575K pw,€ 98K pw,60,60,100,65,65,65
Al-Hilal Omdurman,https://fminside.net/clubs/1-fm-21/5341586-al-hilal-omdurman,Omdurman,1930,Sudan,Premier League,54,,€ 2M,0,0 pw,0 pw,55,25,45,40,57,62
Livorno,https://fminside.net/clubs/1-fm-21/2206-livorno,Livorno,1915,Italy,Lega Pro Girone A,54,Professional,€ 2M,€ 500K,€ 53K pw,€ 2K pw,75,55,60,50,55,60
Bari,https://fminside.net/clubs/1-fm-21/1110-bari,Bari,1908,Italy,Lega Pro Girone C,54,Professional,€ 2M,€ 300K,€ 99K pw,€ 5K pw,55,55,50,50,60,56
Spartak Trnava,https://fminside.net/clubs/1-fm-21/1623-spartak-trnava,Trnava,1923,Slovakia,Fortuna Liga,54,Professional,€ 134K,€ 250K,€ 13K pw,628 pw,65,55,75,65,56,56
Chamois Niortais,https://fminside.net/clubs/1-fm-21/838-chamois-niortais,Niort,1925,France,Ligue 2,54,Professional,€ 2M,€ 250K,€ 66K pw,€ 3K pw,50,65,50,45,57,64
LB Châteauroux,https://fminside.net/clubs/1-fm-21/855-lb-chateauroux,Châteauroux,1883,France,Ligue 2,54,Professional,€ 3M,€ 250K,€ 70K pw,€ 3K pw,60,70,60,60,59,62
SSV Jahn Regensburg,https://fminside.net/clubs/1-fm-21/6000005-ssv-jahn-regensburg,Regensburg,1907,Germany,2. Bundesliga,54,,€ 6M,€ 250K,€ 110K pw,€ 24K pw,45,45,40,25,60,66
Cosenza,https://fminside.net/clubs/1-fm-21/1124-cosenza,Cosenza,1914,Italy,Serie B,54,Professional,€ 2M,€ 570K,€ 96K pw,€ 4K pw,60,40,50,40,60,63
Vicenza,https://fminside.net/clubs/1-fm-21/1181-vicenza,Vicenza,1902,Italy,Serie B,54,Professional,€ 3M,€ 500K,€ 121K pw,€ 6K pw,70,60,50,45,62,64
Hibernian,https://fminside.net/clubs/1-fm-21/1575-hibernian,Edinburgh,1875,Scotland,Premiership,54,Professional,€ 7M,0,€ 60K pw,€ 3K pw,75,75,75,75,61,65
Hearts,https://fminside.net/clubs/1-fm-21/1573-hearts,Edinburgh,1874,Scotland,Championship,54,Professional,€ 2M,0,€ 70K pw,€ 5K pw,80,80,80,70,60,60
SC Farense,https://fminside.net/clubs/1-fm-21/1485-sc-farense,Faro,1910,Portugal,Liga NOS,54,Professional,€ 506K,€ 80K,€ 52K pw,€ 9K pw,50,50,55,35,61,62
Penafiel,https://fminside.net/clubs/1-fm-21/1477-penafiel,Penafiel,1951,Portugal,Liga Portugal 2 SABSEG,54,Professional,€ 712K,€ 75K,€ 31K pw,€ 3K pw,60,50,40,50,60,61
Leixões SC,https://fminside.net/clubs/1-fm-21/2406-leixoes-sc,Matosinhos,1907,Portugal,Liga Portugal 2 SABSEG,54,Professional,€ 880K,€ 75K,€ 53K pw,€ 6K pw,40,35,60,60,58,62
FC Arouca,https://fminside.net/clubs/1-fm-21/729500-fc-arouca,Arouca,1952,Portugal,Liga Portugal 2 SABSEG,54,Professional,€ 761K,€ 100K,€ 32K pw,€ 4K pw,65,50,10,25,58,65
Chacarita Jrs.,https://fminside.net/clubs/1-fm-21/102493-chacarita-jrs,San Martín (BA),1906,Argentina,Primera Nacional,54,Professional,€ 579K,€ 170K,€ 62K pw,€ 3K pw,60,55,60,40,59,64
Sarmiento,https://fminside.net/clubs/1-fm-21/3101516-sarmiento,Junín (BA),1911,Argentina,Primera Nacional,54,,€ 388K,€ 55K,€ 95K pw,€ 4K pw,40,45,55,35,61,60
Cracovia,https://fminside.net/clubs/1-fm-21/129583-cracovia,Kraków,1906,Poland,Ekstraklasa,54,Professional,€ 3M,€ 223K,€ 59K pw,€ 6K pw,45,40,75,60,58,64
Göztepe SK,https://fminside.net/clubs/1-fm-21/130338-goztepe-sk,İzmir,1925,Turkey,Turkish SüperLig,54,Professional,€ 2M,€ 191K,€ 197K pw,€ 9K pw,40,40,25,45,64,63
Sochi,https://fminside.net/clubs/1-fm-21/58145347-sochi,Sochi,2018,Russia,Russian Premier League,54,,€ 20M,€ 3M,€ 303K pw,€ 14K pw,5,25,45,25,63,58
1. FK Příbram,https://fminside.net/clubs/1-fm-21/116156-1-fk-pibram,Pribram,1948,Czech Republic,Fortuna liga,54,Professional,€ 2M,€ 554K,€ 21K pw,€ 6K pw,55,60,70,70,55,57
MFK Karviná,https://fminside.net/clubs/1-fm-21/1300307-mfk-karvina,Karvina,1920,Czech Republic,Fortuna liga,54,,€ 778K,€ 739K,€ 28K pw,€ 8K pw,55,50,50,55,56,59
AE Limassol,https://fminside.net/clubs/1-fm-21/449-ae-limassol,Limassol,1930,Cyprus,Cyta Championship,54,Professional,€ 346K,0,0 pw,0 pw,50,45,75,45,61,64
Unión Española,https://fminside.net/clubs/1-fm-21/120064-union-espanola,Independencia,1897,Chile,Campeonato AFP,54,Professional,€ 130K,€ 85K,€ 33K pw,€ 2K pw,55,55,70,70,59,61
Slavia Sofia,https://fminside.net/clubs/1-fm-21/356-slavia-sofia,Sofia,1913,Bulgaria,efbet League,54,Professional,€ 492K,0,€ 12K pw,€ 1K pw,70,65,95,75,55,61
Cherno More Varna,https://fminside.net/clubs/1-fm-21/138156-cherno-more-varna,Varna,1913,Bulgaria,efbet League,54,Professional,€ 999K,0,€ 17K pw,€ 2K pw,65,65,80,75,58,56
Gaz Metan Mediaş,https://fminside.net/clubs/1-fm-21/138153-gaz-metan-media,Mediaş,1945,Romania,Liga I,54,Professional,€ 180K,0,€ 47K pw,€ 5K pw,50,55,70,55,56,60
Sepsi OSK Sfântu Gheorghe,https://fminside.net/clubs/1-fm-21/57110237-sepsi-osk-sfantu-gheorghe,Sfântu Gheorghe,2011,Romania,Liga I,54,,€ 1M,0,€ 53K pw,€ 6K pw,55,55,80,60,59,56
Al-Ain,https://fminside.net/clubs/1-fm-21/950376-al-ain,Al-Ain,1968,United Arab Emirates,Arabian Gulf League,54,Professional,€ 13M,€ 4M,€ 549K pw,€ 234K pw,70,50,100,50,58,62
Palermo,https://fminside.net/clubs/1-fm-21/2194-palermo,Palermo,1900,Italy,Lega Pro Girone C,54,Professional,€ 966K,€ 400K,€ 37K pw,€ 2K pw,70,60,50,50,55,60
FK Kairat,https://fminside.net/clubs/1-fm-21/484442-fk-kairat,Almaty,1954,Kazakhstan,Priemjer Ligasy,54,Professional,€ 2M,0,0 pw,0 pw,80,75,100,70,62,0
Quilmes,https://fminside.net/clubs/1-fm-21/102487-quilmes,Quilmes (BA),1887,Argentina,Primera Nacional,54,Professional,€ 186K,0,€ 71K pw,€ 3K pw,50,45,65,50,62,65
Gangwon FC,https://fminside.net/clubs/1-fm-21/66006663-gangwon-fc,Gangneung,2008,South Korea,K League Classic,54,,€ 7M,€ 3M,€ 44K pw,€ 6K pw,60,55,60,65,57,53
Sepahan,https://fminside.net/clubs/1-fm-21/5512191-sepahan,Isfahan,1953,Iran,Iran Pro League,54,,€ 1M,0,0 pw,0 pw,55,60,100,60,59,63
San Martín (SJ),https://fminside.net/clubs/1-fm-21/108546-san-martin-sj,San Juan (SJ),1907,Argentina,Primera Nacional,54,Professional,€ 640K,€ 19K,€ 65K pw,€ 4K pw,50,40,60,35,60,62
Nacional (PAR),https://fminside.net/clubs/1-fm-21/5280337-nacional-par,Asunción,1904,Paraguay,Primera División,54,,€ 904K,0,0 pw,0 pw,70,70,70,70,61,64
HJK,https://fminside.net/clubs/1-fm-21/816-hjk,Helsinki,1907,Finland,Veikkausliiga,54,Professional,€ 727K,€ 200K,€ 23K pw,€ 4K pw,70,25,75,70,58,56
Stabæk,https://fminside.net/clubs/1-fm-21/1396-stabk,Bærum,1912,Norway,Eliteserien,54,Professional,€ 1M,€ 116K,€ 32K pw,€ 1K pw,65,80,100,80,59,62
Viking,https://fminside.net/clubs/1-fm-21/1422-viking,Stavanger,1899,Norway,Eliteserien,54,Professional,€ 2M,€ 457K,€ 33K pw,€ 2K pw,55,55,65,60,60,59
Randers FC,https://fminside.net/clubs/1-fm-21/930621-randers-fc,Randers,1898,Denmark,3F Superliga,53,Professional,€ 4M,€ 671K,€ 67K pw,€ 10K pw,60,45,55,60,59,58
Barnsley,https://fminside.net/clubs/1-fm-21/606-barnsley,Barnsley,1887,England,EFL Championship,53,Professional,€ 8M,€ 657K,€ 157K pw,€ 13K pw,65,60,50,50,61,68
Luton Town,https://fminside.net/clubs/1-fm-21/677-luton-town,Luton,1885,England,EFL Championship,53,Professional,€ 8M,€ 55K,€ 144K pw,€ 9K pw,70,70,45,50,62,63
Ipswich Town,https://fminside.net/clubs/1-fm-21/667-ipswich-town,Ipswich,1878,England,EFL League One,53,Professional,€ 2M,0,€ 128K pw,€ 6K pw,70,70,65,60,59,65
Wigan,https://fminside.net/clubs/1-fm-21/737-wigan,Wigan,1932,England,EFL League One,53,Professional,€ 2M,0,€ 76K pw,€ 9K pw,75,60,50,40,57,61
SV Sandhausen,https://fminside.net/clubs/1-fm-21/6000006-sv-sandhausen,Sandhausen,1916,Germany,2. Bundesliga,53,,€ 7M,€ 100K,€ 158K pw,€ 29K pw,45,45,30,30,62,58
FC Emmen,https://fminside.net/clubs/1-fm-21/1003-fc-emmen,Emmen,1925,Netherlands,Eredivisie,53,Professional,€ 9M,€ 600K,€ 67K pw,€ 3K pw,45,40,50,45,62,63
NAC,https://fminside.net/clubs/1-fm-21/1024-nac,Breda,1912,Netherlands,Eerste Divisie,53,Professional,€ 11M,€ 2M,€ 40K pw,€ 2K pw,70,55,50,55,59,61
Dundee Utd,https://fminside.net/clubs/1-fm-21/1556-dundee-utd,Dundee,1909,Scotland,Premiership,53,Professional,€ 780K,€ 109K,€ 52K pw,€ 5K pw,70,55,60,60,59,62
Avaí,https://fminside.net/clubs/1-fm-21/107208-avai,Florianópolis (SC),1923,Brazil,Brazil Série B,53,Professional,€ -296.3K,€ 38K,€ 81K pw,€ 18K pw,55,50,60,40,62,62
Piast Gliwice,https://fminside.net/clubs/1-fm-21/714209-piast-gliwice,Gliwice,1945,Poland,Ekstraklasa,53,Professional,€ 4M,€ 112K,€ 49K pw,€ 5K pw,25,10,55,45,59,58
Larisa,https://fminside.net/clubs/1-fm-21/978-larisa,Larisa,1964,Greece,Super League 1,53,Professional,€ 392K,0,€ 42K pw,€ 4K pw,45,45,40,40,58,54
AmaZulu FC,https://fminside.net/clubs/1-fm-21/130772-amazulu-fc,Durban,1932,South Africa,Premier Division,53,Professional,€ 2M,€ 127K,€ 56K pw,€ 3K pw,50,50,65,15,57,57
Golden Arrows,https://fminside.net/clubs/1-fm-21/131270-golden-arrows,Durban,1996,South Africa,Premier Division,53,Professional,€ 444K,€ 153K,€ 42K pw,€ 2K pw,35,50,40,60,54,57
Unión Comercio,https://fminside.net/clubs/1-fm-21/77016717-union-comercio,Nueva Cajamarca,1994,Peru,Liga 2,53,,€ 295K,0,0 pw,0 pw,10,10,45,30,49,52
Dnipro-1,https://fminside.net/clubs/1-fm-21/71100066-dnipro-1,Dnipro,2017,Ukraine,FavBet Liha,53,,€ 1M,€ 300K,€ 44K pw,€ 3K pw,60,60,55,60,59,60
ES Sétif,https://fminside.net/clubs/1-fm-21/5340079-es-setif,Sétif,1958,Algeria,Ligue Professionnelle 1,53,,€ 304K,0,0 pw,0 pw,55,30,60,60,60,0
Lokomotiv Toshkent,https://fminside.net/clubs/1-fm-21/7900547-lokomotiv-toshkent,Toshkent,2002,Uzbekistan,Superleague,53,,0,0,0 pw,0 pw,10,25,45,25,55,61
Shakhtyor Soligorsk,https://fminside.net/clubs/1-fm-21/1300125-shakhtyor-soligorsk,Soligorsk,1963,Belarus,Vyšejšaja Liha,53,,€ 5M,€ 166K,€ 47K pw,€ 3K pw,90,90,60,80,58,59
RU Saint-Gilloise,https://fminside.net/clubs/1-fm-21/288-ru-saint-gilloise,Brussels,1897,Belgium,Proximus League,53,Professional,€ 3M,€ 22K,€ 112K pw,€ 34K pw,50,50,50,55,60,63
Bolton,https://fminside.net/clubs/1-fm-21/614-bolton,Bolton,1874,England,EFL League Two,53,Professional,€ 1M,0,€ 49K pw,€ 4K pw,75,65,55,60,54,59
VfL Osnabrück,https://fminside.net/clubs/1-fm-21/937-vfl-osnabruck,Osnabrück,1899,Germany,2. Bundesliga,53,Professional,€ 6M,0,€ 98K pw,€ 11K pw,50,55,55,40,59,64
Holstein Kiel,https://fminside.net/clubs/1-fm-21/2245-holstein-kiel,Kiel,1900,Germany,2. Bundesliga,53,Professional,€ 11M,€ 500K,€ 173K pw,€ 36K pw,50,50,35,40,65,67
AC Reggiana,https://fminside.net/clubs/1-fm-21/1164-ac-reggiana,Reggio Emilia,1919,Italy,Serie B,53,Professional,€ 2M,€ 400K,€ 96K pw,€ 19K pw,55,45,45,45,60,62
Académico de Viseu,https://fminside.net/clubs/1-fm-21/2388-academico-de-viseu,Viseu,1914,Portugal,Liga Portugal 2 SABSEG,53,Professional,€ 463K,€ 5K,€ 29K pw,€ 2K pw,65,55,45,50,59,59
Varzim SC,https://fminside.net/clubs/1-fm-21/2394-varzim-sc,Póvoa de Varzim,1915,Portugal,Liga Portugal 2 SABSEG,53,Professional,€ 944K,€ 50K,€ 37K pw,€ 9K pw,55,60,60,70,58,59
Sporting Covilhã,https://fminside.net/clubs/1-fm-21/2395-sporting-covilha,Covilhã,1923,Portugal,Liga Portugal 2 SABSEG,53,Professional,€ 507K,€ 10K,€ 25K pw,€ 3K pw,55,40,35,30,58,56
CD Mafra,https://fminside.net/clubs/1-fm-21/736258-cd-mafra,Mafra,1965,Portugal,Liga Portugal 2 SABSEG,53,Professional,€ 463K,€ 10K,€ 29K pw,€ 2K pw,50,55,25,25,57,56
SL Benfica B,https://fminside.net/clubs/1-fm-21/55000306-sl-benfica-b,Lisbon,0,Portugal,Liga Portugal 2 SABSEG,53,,€ 311K,0,€ 82K pw,€ 34K pw,10,5,5,5,,
FC Porto B,https://fminside.net/clubs/1-fm-21/55000308-fc-porto-b,Porto,0,Portugal,Liga Portugal 2 SABSEG,53,,€ 312K,0,€ 72K pw,€ 34K pw,15,10,5,5,,
CE Sabadell,https://fminside.net/clubs/1-fm-21/1675-ce-sabadell,Sabadell,1903,Spain,LaLiga 2,53,Professional,€ 256K,0,€ 62K pw,€ 4K pw,40,25,45,25,59,64
CD Castellón,https://fminside.net/clubs/1-fm-21/1690-cd-castellon,Castellón,1922,Spain,LaLiga 2,53,Professional,€ 937K,€ 206K,€ 96K pw,€ 22K pw,70,40,50,30,60,62
FC Cartagena,https://fminside.net/clubs/1-fm-21/4203003-fc-cartagena,Cartagena,1995,Spain,LaLiga 2,53,,€ 384K,0,€ 100K pw,€ 10K pw,65,40,60,45,62,66
UD Logroñés,https://fminside.net/clubs/1-fm-21/67089705-ud-logrones,Logroño,2009,Spain,LaLiga 2,53,,€ 1M,€ 85K,€ 90K pw,€ 29K pw,65,45,55,45,61,64
Cultural Leonesa,https://fminside.net/clubs/1-fm-21/2093-cultural-leonesa,León,1923,Spain,Segunda División B Grupo I,53,Professional,€ 1M,€ 101K,€ 62K pw,€ 2K pw,50,40,60,50,56,57
Hércules de Alicante,https://fminside.net/clubs/1-fm-21/1716-hercules-de-alicante,Alicante,1922,Spain,Segunda División B Grupo III,53,Professional,€ 382K,€ 38K,€ 65K pw,€ 3K pw,70,45,55,50,60,59
Gimnàstic de Tarragona,https://fminside.net/clubs/1-fm-21/4203006-gimnastic-de-tarragona,Tarragona,1914,Spain,Segunda División B Grupo III,53,,€ 1M,€ 89K,€ 73K pw,€ 12K pw,55,35,40,35,58,56
Temperley,https://fminside.net/clubs/1-fm-21/3100019-temperley,Temperley (BA),1912,Argentina,Primera Nacional,53,,€ 216K,0,€ 50K pw,€ 2K pw,50,45,65,25,61,59
Gorica,https://fminside.net/clubs/1-fm-21/24013516-gorica,Velika Gorica,2009,Croatia,HT Prva liga,53,,€ -719K,€ 150K,€ 25K pw,€ 2K pw,40,25,30,50,62,62
Brisbane Roar,https://fminside.net/clubs/1-fm-21/130220-brisbane-roar,Brisbane,2005,Australia,A-League,53,Professional,€ 745K,€ 74K,€ 34K pw,16 pw,55,55,50,65,53,54
Adelaide United,https://fminside.net/clubs/1-fm-21/8457492-adelaide-united,Adelaide,2003,Australia,A-League,53,,€ 2M,€ 129K,€ 34K pw,€ 1K pw,55,55,75,60,55,53
Alanyaspor,https://fminside.net/clubs/1-fm-21/458718-alanyaspor,Antalya,1948,Turkey,Turkish SüperLig,53,Professional,€ 3M,€ 992K,€ 237K pw,€ 11K pw,30,30,10,25,65,61
Shandong Luneng,https://fminside.net/clubs/1-fm-21/116403-shandong-luneng,Ji'nan,1998,China PR,Chinese Super League,53,Professional,€ 86M,€ 11M,€ 1M pw,€ 63K pw,75,60,100,65,63,56
Black Leopards,https://fminside.net/clubs/1-fm-21/5680075-black-leopards,Polokwane,1983,South Africa,Premier Division,53,,€ 774K,€ 127K,€ 31K pw,€ 1K pw,40,50,40,40,52,52
Baroka,https://fminside.net/clubs/1-fm-21/65010405-baroka,Polokwane,2007,South Africa,Premier Division,53,,€ 139K,€ 102K,€ 28K pw,€ 1K pw,45,40,45,40,50,54
Stellenbosch FC,https://fminside.net/clubs/1-fm-21/65036389-stellenbosch-fc,Stellenbosch,2016,South Africa,Premier Division,53,,€ 916K,€ 102K,€ 37K pw,€ 2K pw,60,50,45,40,57,55
SK Austria Klagenfurt,https://fminside.net/clubs/1-fm-21/16057026-sk-austria-klagenfurt,Klagenfurt am Wörthersee,2010,Austria,2.liga,53,,€ 3M,€ 150K,€ 40K pw,€ 2K pw,65,65,50,50,55,53
Neuchâtel Xamax,https://fminside.net/clubs/1-fm-21/1857-neuchatel-xamax,Neuchâtel,1970,Switzerland,Brack.ch Challenge League,53,Professional,€ 448K,€ 16K,€ 51K pw,€ 5K pw,60,55,55,55,56,55
Haugesund,https://fminside.net/clubs/1-fm-21/1326-haugesund,Haugesund,1993,Norway,Eliteserien,53,Professional,€ 3M,€ 278K,€ 23K pw,€ 1K pw,55,35,55,45,58,62
Charlotte FC,https://fminside.net/clubs/1-fm-21/2000032491-charlotte-fc,Charlotte (NC),2019,United States,Lower Leagues,53,,€ 25M,€ 6M,€ 2K pw,115 pw,55,25,50,50,,
Deportivo Pasto,https://fminside.net/clubs/1-fm-21/130800-deportivo-pasto,Pasto,1949,Colombia,Liga Aguila,53,Professional,€ 2M,€ 127K,€ 44K pw,€ 2K pw,45,50,55,55,63,61
Cantolao,https://fminside.net/clubs/1-fm-21/77002090-cantolao,La Punta,1981,Peru,Liga 1,53,,€ 868K,€ 17K,€ 34K pw,€ 2K pw,20,50,90,65,58,60
Al-Gharafa,https://fminside.net/clubs/1-fm-21/1026831-al-gharafa,Doha,1979,Qatar,QNB Stars League,53,,€ 12M,€ 850K,€ 319K pw,€ 67K pw,50,45,85,45,62,56
MFK Rużomberok,https://fminside.net/clubs/1-fm-21/130873-mfk-ruomberok,Ruzomberok,1906,Slovakia,Fortuna Liga,53,Professional,€ 21K,€ 150K,€ 10K pw,492 pw,55,45,70,55,52,55
Valur Reykjavík,https://fminside.net/clubs/1-fm-21/1080-valur-reykjavik,Reykjavík,1911,Iceland,Pepsi-deildin,53,Professional,€ 757K,€ 135K,€ 25K pw,€ 2K pw,40,40,75,65,58,52
Al-Jazira (UAE),https://fminside.net/clubs/1-fm-21/135450-al-jazira-uae,Abu Dhabi,1974,United Arab Emirates,Arabian Gulf League,53,Professional,€ 11M,€ 3M,€ 230K pw,€ 11K pw,65,35,100,40,58,62
Zrinjski Mostar,https://fminside.net/clubs/1-fm-21/650047-zrinjski-mostar,Mostar,1905,Bosnia and Herzegovina,M:tel Premier League,53,Professional,€ 580K,0,0 pw,0 pw,60,60,80,60,56,60
Club Africain,https://fminside.net/clubs/1-fm-21/401149-club-africain,Tunis,1920,Tunisia,CLP-1,53,Professional,€ 722K,0,0 pw,0 pw,60,55,65,55,59,66
Hansa Rostock,https://fminside.net/clubs/1-fm-21/928-hansa-rostock,Rostock,1965,Germany,3. Liga,53,Professional,€ 5M,0,€ 91K pw,€ 19K pw,70,60,55,50,57,57
CF Atlante,https://fminside.net/clubs/1-fm-21/102356-cf-atlante,Mexico City,1916,Mexico,Expansion League,53,Professional,€ 831K,€ 425K,€ 7K pw,310 pw,55,55,70,45,50,54
Monarcas Morelia,https://fminside.net/clubs/1-fm-21/106028-monarcas-morelia,Morelia,1950,Mexico,Expansion League,53,Professional,€ 6M,€ 4M,€ 27K pw,€ 1K pw,60,55,60,55,52,55
Ferro Carril Oeste,https://fminside.net/clubs/1-fm-21/86-ferro-carril-oeste,Ciudad de Buenos Aires,1904,Argentina,Primera Nacional,53,Professional,€ 148K,€ 30K,€ 72K pw,€ 3K pw,55,60,70,60,61,62
Atlético de Rafaela,https://fminside.net/clubs/1-fm-21/102472-atletico-de-rafaela,Rafaela (SF),1907,Argentina,Primera Nacional,53,Professional,€ 246K,€ 17K,€ 51K pw,€ 2K pw,65,70,65,60,59,64
Wacker Innsbruck,https://fminside.net/clubs/1-fm-21/5603779-wacker-innsbruck,Innsbruck,2002,Austria,2.liga,53,,€ 4M,€ 40K,€ 44K pw,€ 2K pw,70,70,65,60,53,57
Gwangju FC,https://fminside.net/clubs/1-fm-21/66011708-gwangju-fc,Gwangju,2010,South Korea,K League Classic,53,,€ 5M,€ 4M,€ 41K pw,€ 4K pw,75,50,60,55,57,57
Dynamo Brest,https://fminside.net/clubs/1-fm-21/1300113-dynamo-brest,Brest (Blr),1960,Belarus,Vyšejšaja Liha,53,,€ 8M,€ 510K,€ 40K pw,€ 4K pw,50,50,65,65,59,59
Sarpsborg 08,https://fminside.net/clubs/1-fm-21/53021327-sarpsborg-08,Sarpsborg,2007,Norway,Eliteserien,53,,€ 4M,€ 91K,€ 28K pw,€ 1K pw,55,55,70,55,60,57
SønderjyskE,https://fminside.net/clubs/1-fm-21/926867-snderjyske,Haderslev,1906,Denmark,3F Superliga,52,Professional,€ 370K,€ 134K,€ 62K pw,€ 6K pw,60,45,40,50,61,61
Rodez AF,https://fminside.net/clubs/1-fm-21/2048-rodez-af,Rodez,1929,France,Ligue 2,52,Professional,€ 551K,0,€ 44K pw,€ 2K pw,40,15,25,25,56,62
